Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹),Brand,Year,Car_Age
Mahindra Xuv500 (2013),W8 Dual Tone,DIESEL,58000.0,MANUAL,1st Owner,"Pitampura, Delhi",01/27/2022,435000,Mahindra,2013.0,9.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01/23/2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01/25/2022,815000,Hyundai,2019.0,3.0
Datsun Redigo (2020),D,PETROL,10000.0,MANUAL,1st Owner,"Palam, Delhi",01/13/2022,270000,Datsun,2020.0,2.0
Hyundai I10 (2011),Sportz 1.1 iRDE2,PETROL,70000.0,MANUAL,1st Owner,"Dwarka Sector 13, Delhi",01/13/2022,185000,Hyundai,2011.0,11.0
Toyota Innova (2011),2004-2011 2.5 V Diesel 7-seater,DIESEL,140000.0,MANUAL,2nd Owner,"Rajivgandhi Nagar, Tumakuru",01-27-2022,740000,Toyota,2011.0,11.0
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0,MANUAL,1st Owner,"Meerut Road Industrial Area Sector 21, Ghaziabad",01-27-2022,418500,Maruti,2017.0,5.0
Mahindra Xuv500 (2013),W8 Dual Tone,DIESEL,58000.0,MANUAL,1st Owner,"Pitampura, Delhi",01-27-2022,435000,Mahindra,2013.0,9.0
Maruti Suzuki Swift (2016),ZXI,PETROL,84000.0,MANUAL,1st Owner,"Calicut Medical College, Kozhikode",01-27-2022,480000,Maruti,2016.0,6.0
Maruti Suzuki Swift (2013),2011-2014 VDI,DIESEL,93000.0,MANUAL,1st Owner,"Budhakhera, Karnal",01-27-2022,320000,Maruti,2013.0,9.0
Chevrolet Tavera Neo (2015),LS B3 - 10 seats BSII,DIESEL,149000.0,MANUAL,1st Owner,"Pilaviduthy, Karambakkudi",01-27-2022,490000,Chevrolet,2015.0,7.0
Bmw 5 Series (2012),520d,DIESEL,64000.0,AUTOMATIC,2nd Owner,"Sector 16, Faridabad",01-24-2022,1025000,Bmw,2012.0,10.0
Nissan Micra (2016),XL CVT,PETROL,31000.0,AUTOMATIC,1st Owner,"Shahibag, Ahmedabad",01-06-2022,420000,Nissan,2016.0,6.0
